epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
121,26756.2,0.66179,0.86892,1.0978,0.97479,0,0.86561,0.79522,0.85536,0.67721,0.86863,0.78927,0.85482,0.63294,0.7947,0.95692,1.28023,1.00603,0,0.000209073,0.000209073,0.000209073
122,26977.1,0.67118,0.88657,1.09957,0.97817,0,0.84224,0.81837,0.85734,0.67763,0.83804,0.81336,0.85389,0.63458,0.79504,0.95113,1.27955,1.00557,0,0.000197062,0.000197062,0.000197062
123,27197.9,0.65353,0.84312,1.06525,0.96994,0,0.87034,0.79479,0.85901,0.67742,0.87601,0.79144,0.85496,0.63516,0.79289,0.94999,1.28053,1.00424,0,0.000185408,0.000185408,0.000185408
124,27419.5,0.65825,0.86459,1.09185,0.97579,0,0.87603,0.80557,0.86088,0.67998,0.87738,0.80241,0.85701,0.63831,0.79012,0.9501,1.26718,1.00385,0,0.000174115,0.000174115,0.000174115
125,27641.3,0.66023,0.88644,1.09314,0.97792,0,0.85319,0.82225,0.85918,0.67956,0.84965,0.81826,0.85595,0.63742,0.79133,0.94964,1.2644,1.00474,0,0.000163189,0.000163189,0.000163189
126,27864.8,0.65735,0.85877,1.07099,0.96965,0,0.8584,0.8226,0.86085,0.68224,0.85482,0.81805,0.85746,0.64129,0.79012,0.94962,1.25747,1.00441,0,0.000152635,0.000152635,0.000152635
127,28088.5,0.66339,0.87441,1.11914,0.97463,0,0.84284,0.82405,0.8607,0.6826,0.84108,0.81951,0.8571,0.64075,0.78846,0.94649,1.2577,1.00332,0,0.000142456,0.000142456,0.000142456
128,28313,0.66012,0.85916,1.08954,0.97645,0,0.83289,0.8293,0.86111,0.6827,0.83085,0.82625,0.85943,0.6394,0.78781,0.94707,1.25533,1.00306,0,0.000132658,0.000132658,0.000132658
129,28531.4,0.66244,0.8594,1.06981,0.97383,0,0.85129,0.81232,0.86273,0.68426,0.8499,0.81098,0.86093,0.6409,0.78743,0.95049,1.25246,1.00253,0,0.000123245,0.000123245,0.000123245
130,28751.2,0.64761,0.84806,1.04978,0.96921,0,0.8549,0.81894,0.86478,0.6843,0.85351,0.81626,0.86273,0.6426,0.78981,0.9506,1.25532,1.00298,0,0.000114221,0.000114221,0.000114221
131,28922.2,0.71275,0.93436,0.9596,0.99593,0,0.89961,0.78793,0.86607,0.68448,0.89815,0.78659,0.86428,0.64368,0.78897,0.95075,1.25361,1.00308,0,0.00010559,0.00010559,0.00010559
132,29091.6,0.7105,0.95501,0.9501,0.9989,0,0.90341,0.78684,0.86815,0.68534,0.90259,0.78577,0.86635,0.64508,0.78747,0.96266,1.2458,1.00217,0,9.73555e-05,9.73555e-05,9.73555e-05
133,29258.7,0.70208,0.93394,0.97722,0.98893,0,0.88789,0.79666,0.86571,0.68426,0.88754,0.79448,0.86431,0.64391,0.78586,0.96457,1.24605,1.0022,0,8.95213e-05,8.95213e-05,8.95213e-05
134,29425.5,0.69538,0.94804,0.95066,1.0004,0,0.88801,0.79897,0.86642,0.68396,0.88744,0.79655,0.8643,0.64381,0.78551,0.95898,1.24896,1.00215,0,8.20908e-05,8.20908e-05,8.20908e-05
135,29591.8,0.69803,0.92525,0.94471,1.00173,0,0.89265,0.79849,0.86901,0.68759,0.89121,0.79638,0.86697,0.64695,0.78435,0.95347,1.2449,1.00135,0,7.50674e-05,7.50674e-05,7.50674e-05
136,29759.5,0.70747,0.94859,0.93391,0.9995,0,0.89438,0.79756,0.86878,0.68646,0.89268,0.7948,0.86713,0.64756,0.78332,0.94743,1.24236,1.00074,0,6.8454e-05,6.8454e-05,6.8454e-05
137,29930,0.70632,0.9271,0.97888,1.00367,0,0.88332,0.80902,0.86901,0.68685,0.88066,0.80625,0.86758,0.6493,0.78158,0.94396,1.24053,0.99965,0,6.22537e-05,6.22537e-05,6.22537e-05
138,30099.6,0.70187,0.94933,0.9308,1.00509,0,0.88383,0.8094,0.86885,0.68722,0.88098,0.80683,0.86768,0.64835,0.78252,0.94229,1.24011,0.99974,0,5.64691e-05,5.64691e-05,5.64691e-05
139,30269.9,0.69769,0.92972,0.92239,1.00658,0,0.89335,0.80483,0.86856,0.68762,0.89206,0.80083,0.86743,0.64748,0.78159,0.94111,1.23804,0.99925,0,5.11027e-05,5.11027e-05,5.11027e-05
140,30440.4,0.6954,0.92585,0.94619,1.00044,0,0.895,0.80339,0.86773,0.68738,0.89337,0.79997,0.86633,0.64897,0.78132,0.9409,1.23659,0.99933,0,4.61569e-05,4.61569e-05,4.61569e-05
141,30612.4,0.68268,0.91872,0.96656,0.9954,0,0.8982,0.79956,0.86733,0.6864,0.89875,0.79723,0.86588,0.64899,0.781,0.94112,1.23637,0.99903,0,4.16339e-05,4.16339e-05,4.16339e-05
142,30782.4,0.6916,0.91539,0.91052,0.98795,0,0.89237,0.80513,0.86612,0.68606,0.89865,0.798,0.86461,0.64787,0.78109,0.94065,1.23727,0.99875,0,3.75356e-05,3.75356e-05,3.75356e-05
143,30952.3,0.68164,0.91728,0.9122,0.98173,0,0.89367,0.80358,0.86612,0.68487,0.89642,0.79906,0.8645,0.64772,0.78054,0.94013,1.23807,0.99856,0,3.38639e-05,3.38639e-05,3.38639e-05
144,31122.3,0.71302,0.93528,0.94952,0.99957,0,0.88949,0.80619,0.86662,0.68555,0.89046,0.80208,0.86504,0.64861,0.77997,0.94033,1.23834,0.99836,0,3.06204e-05,3.06204e-05,3.06204e-05
145,31292.1,0.69604,0.9474,0.9051,1.00387,0,0.88914,0.80559,0.86655,0.68573,0.88851,0.80259,0.86489,0.64789,0.77953,0.93978,1.23678,0.99791,0,2.78064e-05,2.78064e-05,2.78064e-05
146,31463.2,0.69701,0.92276,0.96816,0.99506,0,0.89069,0.80408,0.8679,0.6868,0.89098,0.80158,0.86622,0.64817,0.77915,0.93987,1.23853,0.9976,0,2.54233e-05,2.54233e-05,2.54233e-05
147,31633.5,0.6936,0.92885,0.9259,0.99656,0,0.88914,0.81214,0.86932,0.687,0.89107,0.80579,0.86769,0.6472,0.77945,0.9398,1.23661,0.9976,0,2.34721e-05,2.34721e-05,2.34721e-05
148,31804.2,0.68136,0.91251,0.90275,0.98603,0,0.88802,0.81379,0.87001,0.68761,0.89195,0.80753,0.8684,0.64697,0.77962,0.93996,1.23725,0.99734,0,2.19535e-05,2.19535e-05,2.19535e-05
149,31974.6,0.6877,0.91712,0.89747,0.99196,0,0.89413,0.81248,0.87041,0.68769,0.89243,0.80795,0.86871,0.64794,0.77952,0.93999,1.23697,0.99721,0,2.08684e-05,2.08684e-05,2.08684e-05
150,32144.7,0.68765,0.92338,0.91354,0.99624,0,0.89486,0.81191,0.87051,0.68738,0.89385,0.8078,0.86882,0.64711,0.77919,0.94102,1.23717,0.99702,0,2.02171e-05,2.02171e-05,2.02171e-05
