epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,6239.91,0.9423,1.17282,2.19844,1.14461,0,0.66497,0.57165,0.58817,0.41054,0.66564,0.5726,0.59075,0.42248,1.09467,1.14093,2.26457,1.22988,0,0.00184588,0.00184588,0.00184588
29,6462.51,0.9305,1.15738,2.15474,1.14649,0,0.6574,0.56702,0.60259,0.43936,0.65761,0.56855,0.60668,0.44028,1.0311,1.13018,2.19564,1.17918,0,0.00183459,0.00183459,0.00183459
30,6685.38,0.91804,1.14201,2.12828,1.12887,0,0.72599,0.54253,0.61246,0.44045,0.72682,0.54231,0.6148,0.44736,1.05698,1.1226,2.23297,1.19647,0,0.00182294,0.00182294,0.00182294
31,6908.71,0.93478,1.13774,2.09573,1.13326,0,0.69532,0.53521,0.60364,0.43494,0.69343,0.53453,0.60693,0.437,1.0411,1.10924,2.14,1.18057,0,0.00181093,0.00181093,0.00181093
32,7131.29,0.90936,1.13622,2.06702,1.12834,0,0.67648,0.55819,0.61091,0.4366,0.68014,0.55932,0.61493,0.44741,1.03627,1.12778,2.20263,1.1764,0,0.00179856,0.00179856,0.00179856
33,7353.99,0.91084,1.12328,2.06561,1.12582,0,0.66129,0.62499,0.64597,0.46289,0.66153,0.62534,0.6493,0.47294,1.06263,1.10551,2.12113,1.19109,0,0.00178586,0.00178586,0.00178586
34,7576.61,0.91387,1.14701,2.07405,1.12283,0,0.66212,0.61559,0.63842,0.46312,0.6627,0.61913,0.64554,0.47372,1.02921,1.09739,2.09364,1.16465,0,0.00177281,0.00177281,0.00177281
35,7796.39,0.88177,1.09302,1.97149,1.10984,0,0.71434,0.57115,0.6542,0.47737,0.68989,0.59043,0.66123,0.48125,1.02872,1.0872,2.02557,1.16656,0,0.00175943,0.00175943,0.00175943
36,8013.4,0.90042,1.10375,1.95857,1.11145,0,0.63965,0.60883,0.64586,0.46138,0.63983,0.60903,0.65024,0.46718,1.03511,1.076,2.04017,1.16383,0,0.00174571,0.00174571,0.00174571
37,8230.64,0.88819,1.11032,1.92763,1.10679,0,0.74757,0.59347,0.65797,0.47542,0.7495,0.59586,0.66466,0.48104,1.03799,1.08012,2.02127,1.17123,0,0.00173168,0.00173168,0.00173168
38,8448.56,0.88389,1.08491,1.92923,1.10874,0,0.78503,0.5693,0.65944,0.47317,0.78987,0.56559,0.662,0.48418,1.04294,1.0991,2.03081,1.17391,0,0.00171733,0.00171733,0.00171733
39,8667.4,0.8757,1.10129,1.93741,1.10513,0,0.66071,0.62244,0.65995,0.47522,0.67268,0.62867,0.66843,0.47722,1.03772,1.11492,2.00543,1.16575,0,0.00170267,0.00170267,0.00170267
40,8888.58,0.88647,1.0967,1.92444,1.10761,0,0.72994,0.59511,0.67816,0.49277,0.72939,0.59663,0.68333,0.50441,1.02943,1.08205,1.95619,1.15507,0,0.0016877,0.0016877,0.0016877
41,9106.99,0.87845,1.08381,1.83264,1.0921,0,0.70427,0.6275,0.68539,0.49826,0.70062,0.63607,0.6901,0.50923,1.01153,1.07707,1.93425,1.1538,0,0.00167244,0.00167244,0.00167244
42,9324.71,0.87713,1.09593,1.95132,1.09909,0,0.70184,0.63794,0.67502,0.49291,0.70947,0.64383,0.67963,0.49744,0.99759,1.06879,1.89177,1.13807,0,0.00165689,0.00165689,0.00165689
43,9544.81,0.87423,1.07257,1.86388,1.09059,0,0.70915,0.65038,0.67884,0.49257,0.70739,0.66084,0.68342,0.49841,1.04458,1.09399,1.92896,1.16551,0,0.00164105,0.00164105,0.00164105
44,9764.21,0.86781,1.07048,1.85083,1.0942,0,0.74826,0.61778,0.68844,0.50426,0.74909,0.6198,0.69443,0.50823,1.02221,1.06901,1.90437,1.14695,0,0.00162494,0.00162494,0.00162494
45,9982.61,0.87642,1.09375,1.87857,1.09446,0,0.65643,0.64129,0.67154,0.50183,0.67282,0.64703,0.67808,0.50197,1.00588,1.0445,1.88205,1.14064,0,0.00160855,0.00160855,0.00160855
46,10201.6,0.85762,1.06388,1.82758,1.09166,0,0.72947,0.67597,0.70457,0.51341,0.73129,0.67739,0.70753,0.51662,0.99703,1.05962,1.85562,1.13829,0,0.00159191,0.00159191,0.00159191
47,10423.1,0.85509,1.05956,1.77039,1.08169,0,0.72965,0.69455,0.71521,0.52067,0.73619,0.68984,0.71955,0.53118,0.99273,1.06073,1.80433,1.1285,0,0.00157501,0.00157501,0.00157501
48,10644.1,0.841,1.0467,1.73248,1.07277,0,0.71889,0.65628,0.70607,0.51408,0.72111,0.65979,0.71144,0.52303,0.98466,1.05329,1.80853,1.12546,0,0.00155786,0.00155786,0.00155786
49,10863.4,0.84109,1.04112,1.72476,1.08132,0,0.75898,0.65427,0.72416,0.53217,0.78754,0.65477,0.732,0.53422,0.98237,1.07113,1.76486,1.11875,0,0.00154047,0.00154047,0.00154047
50,11081.3,0.83874,1.05075,1.73734,1.07577,0,0.81239,0.65823,0.72732,0.5327,0.81191,0.6589,0.73172,0.53619,0.99743,1.04452,1.79956,1.12746,0,0.00152285,0.00152285,0.00152285
51,11301.8,0.83688,1.02577,1.74801,1.07832,0,0.79622,0.6264,0.72023,0.52636,0.81168,0.6228,0.72942,0.54033,0.99839,1.06306,1.73212,1.12237,0,0.001505,0.001505,0.001505
52,11522.3,0.83815,1.04419,1.78189,1.07147,0,0.7741,0.63762,0.70921,0.5198,0.77706,0.64034,0.71657,0.52911,0.97828,1.04493,1.76158,1.1198,0,0.00148694,0.00148694,0.00148694
53,11744.5,0.84428,1.03081,1.69195,1.07766,0,0.79192,0.67418,0.72322,0.53251,0.77257,0.68826,0.73783,0.54646,0.98664,1.05443,1.76678,1.12447,0,0.00146866,0.00146866,0.00146866
54,11965.6,0.84491,1.04842,1.71356,1.06845,0,0.83006,0.66875,0.7486,0.556,0.83437,0.67381,0.7574,0.56259,0.98727,1.03623,1.69845,1.12397,0,0.00145019,0.00145019,0.00145019
55,12189.3,0.83351,1.03106,1.67948,1.0648,0,0.77716,0.65036,0.73108,0.54664,0.81858,0.62666,0.73569,0.54613,0.95658,1.04533,1.70728,1.09705,0,0.00143152,0.00143152,0.00143152
56,12412.1,0.82314,1.01253,1.63096,1.05362,0,0.75444,0.68575,0.73939,0.54882,0.77228,0.69347,0.74601,0.55705,0.968,1.03735,1.72283,1.10474,0,0.00141267,0.00141267,0.00141267
57,12633.8,0.81931,1.01317,1.67959,1.06787,0,0.79273,0.69048,0.74002,0.5561,0.81361,0.68581,0.74755,0.55823,0.94998,1.02404,1.65694,1.09652,0,0.00139364,0.00139364,0.00139364
58,12854.7,0.82093,1.01828,1.6413,1.0561,0,0.80777,0.68738,0.74826,0.55476,0.80629,0.69505,0.76909,0.56524,0.9634,1.02806,1.64153,1.09942,0,0.00137444,0.00137444,0.00137444
59,13075.3,0.81193,1.01439,1.5811,1.05402,0,0.78622,0.71995,0.75901,0.5581,0.77959,0.7269,0.77061,0.56829,0.97293,1.02385,1.63299,1.10283,0,0.00135509,0.00135509,0.00135509
60,13296.1,0.80295,0.9947,1.57958,1.05715,0,0.71487,0.71997,0.75278,0.56206,0.7169,0.72228,0.75581,0.56233,0.93941,1.01764,1.63326,1.0928,0,0.00133558,0.00133558,0.00133558
61,13516.7,0.80297,1.00082,1.55398,1.04742,0,0.81137,0.68477,0.76162,0.57063,0.82933,0.69302,0.77087,0.57412,0.95455,1.0237,1.59014,1.09931,0,0.00131593,0.00131593,0.00131593
62,13737.8,0.79804,0.97266,1.56827,1.05174,0,0.82775,0.6816,0.7528,0.55336,0.83073,0.68474,0.75973,0.56217,0.96468,1.02145,1.60168,1.10569,0,0.00129614,0.00129614,0.00129614
63,13956,0.80739,1.01754,1.59584,1.05302,0,0.74896,0.72246,0.76284,0.56732,0.75048,0.72438,0.76891,0.57828,0.95517,1.0126,1.58646,1.09395,0,0.00127623,0.00127623,0.00127623
64,14176,0.79932,0.98403,1.53576,1.03934,0,0.83687,0.66854,0.76228,0.56848,0.83827,0.67005,0.76784,0.5696,0.94035,1.01814,1.58955,1.08827,0,0.0012562,0.0012562,0.0012562
65,14396.2,0.7995,1.00927,1.55501,1.04754,0,0.834,0.70822,0.78329,0.5889,0.85095,0.69367,0.78702,0.58961,0.92828,1.00559,1.55284,1.07659,0,0.00123607,0.00123607,0.00123607
66,14616,0.80065,0.99142,1.52907,1.04636,0,0.84767,0.67404,0.77593,0.58453,0.78335,0.7374,0.78885,0.5873,0.92851,1.00099,1.55018,1.08199,0,0.00121583,0.00121583,0.00121583
67,14836.2,0.80081,1.01045,1.52318,1.04492,0,0.85697,0.70015,0.77538,0.57794,0.85864,0.70147,0.78281,0.57732,0.9242,1.00232,1.58205,1.07611,0,0.00119551,0.00119551,0.00119551
68,15058,0.78593,0.96707,1.49332,1.03729,0,0.81446,0.69406,0.7684,0.58111,0.83904,0.69703,0.77606,0.57813,0.92624,0.99156,1.52842,1.07604,0,0.0011751,0.0011751,0.0011751
69,15280.3,0.78568,0.98282,1.55081,1.03479,0,0.84175,0.70803,0.78645,0.59255,0.85979,0.71257,0.7978,0.59892,0.91819,1.01104,1.51824,1.07416,0,0.00115462,0.00115462,0.00115462
70,15502.3,0.78775,0.98075,1.48801,1.04398,0,0.78149,0.72456,0.78272,0.58993,0.80768,0.73023,0.79144,0.59195,0.91552,0.98669,1.50276,1.07293,0,0.00113408,0.00113408,0.00113408
